ufficio,tipo,grado,articolo,esito,numero,affidabilita,fonte
Tribunale di Massa,Tribunale,I,nd,archiviazione,25,bassa,estrazione-auto
Tribunale di Nola,Tribunale,I,nd,condanna,2,bassa,estrazione-auto
Tribunale di Nola,Tribunale,I,nd,assoluzione,24,bassa,estrazione-auto
Tribunale di Nola,Tribunale,I,nd,prescrizione,1,bassa,estrazione-auto
Tribunale di Nola,Tribunale,I,nd,patteggiamento,2,bassa,estrazione-auto
Tribunale di Nola,Tribunale,I,nd,ndp_altro,4,bassa,estrazione-auto
Tribunale di Nola,Tribunale,I,nd,archiviazione,874,bassa,estrazione-auto
Tribunale di Perugia,Tribunale,I,423,condanna,7,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,423,assoluzione,4,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,423,prescrizione,8,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,423,patteggiamento,1,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,423,archiviazione,17,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,449,condanna,1,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,449,assoluzione,3,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,449,prescrizione,4,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,449,patteggiamento,1,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,449,ndp_altro,2,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,449,archiviazione,11,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,nd,condanna,1,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,nd,assoluzione,2,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,nd,prescrizione,1,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,nd,patteggiamento,1,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,nd,ndp_altro,2,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,nd,archiviazione,3,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,423bis_c2,patteggiamento,1,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,423bis_c2,archiviazione,2,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,423bis_c1,prescrizione,1,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,423bis,assoluzione,1,media,estrazione-auto
Tribunale di Perugia,Tribunale,I,423bis,prescrizione,1,media,estrazione-auto
Tribunale di Pescara,Tribunale,I,423bis,condanna,1,media,estrazione-auto
Tribunale di Pescara,Tribunale,I,423bis,patteggiamento,2,media,estrazione-auto
Tribunale di Pescara,Tribunale,I,423bis,archiviazione,1,media,estrazione-auto
Tribunale di Ravenna,Tribunale,I,423,condanna,11,media,estrazione-auto
Tribunale di Ravenna,Tribunale,I,423,assoluzione,5,media,estrazione-auto
Tribunale di Ravenna,Tribunale,I,423,patteggiamento,3,media,estrazione-auto
Tribunale di Ravenna,Tribunale,I,423,ndp_altro,3,media,estrazione-auto
Tribunale di Ravenna,Tribunale,I,423,archiviazione,32,media,estrazione-auto
Tribunale di Ravenna,Tribunale,I,nd,assoluzione,4,media,estrazione-auto
Tribunale di Ravenna,Tribunale,I,nd,archiviazione,86,media,estrazione-auto
Tribunale di Rimini,Tribunale,I,nd,condanna,12,media,estrazione-auto
Tribunale di Rimini,Tribunale,I,nd,assoluzione,25,media,estrazione-auto
Tribunale di Rimini,Tribunale,I,nd,prescrizione,8,media,estrazione-auto
Tribunale di Rimini,Tribunale,I,nd,patteggiamento,7,media,estrazione-auto
Tribunale di Rimini,Tribunale,I,nd,ndp_altro,4,media,estrazione-auto
Tribunale di Rimini,Tribunale,I,nd,archiviazione,32,media,estrazione-auto
Tribunale di Belluno,Tribunale,I,423,condanna,5,media,dati_incendio (prospetto)
Tribunale di Belluno,Tribunale,I,423,assoluzione,2,media,dati_incendio (prospetto)
Tribunale di Belluno,Tribunale,I,423,ndp_altro,1,media,dati_incendio (prospetto)
Tribunale di Belluno,Tribunale,I,423bis_c2,condanna,1,media,dati_incendio (prospetto)
Tribunale di Belluno,Tribunale,I,449,condanna,2,media,dati_incendio (prospetto)
Tribunale di Belluno,Tribunale,I,449,assoluzione,3,media,dati_incendio (prospetto)
Tribunale di Belluno,Tribunale,I,449,ndp_altro,1,media,dati_incendio (prospetto)
Tribunale di Belluno,Tribunale,I,nd,archiviazione_ignoti,218,bassa,Elenco GIP ignoti
Tribunale di Palermo,Tribunale,I,423,condanna,23,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,423,assoluzione,26,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,423,prescrizione,5,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,423,patteggiamento,4,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,423,archiviazione,20,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,423bis,condanna,4,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,423bis,assoluzione,3,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,423bis_c2,condanna,6,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,423bis_c2,assoluzione,1,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,423bis_c2,patteggiamento,1,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,423bis_c2,archiviazione,1,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,449,condanna,6,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,449,assoluzione,18,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,449,prescrizione,3,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,449,patteggiamento,4,alta,FOIA_Dati_Reati_Incendio.xlsx
Tribunale di Palermo,Tribunale,I,449,archiviazione,20,alta,FOIA_Dati_Reati_Incendio.xlsx
# --- BATCH 3-4: prospetti/elenchi + dato.md del team + Verbania (24/08) ---
Tribunale di Castrovillari,Tribunale,I,nd,condanna,27,media,prospetto sentenze
Tribunale di Castrovillari,Tribunale,I,nd,assoluzione,20,media,prospetto sentenze
Tribunale di Castrovillari,Tribunale,I,nd,prescrizione,9,media,prospetto sentenze
Tribunale di Castrovillari,Tribunale,I,nd,patteggiamento,1,media,prospetto sentenze
Tribunale di Castrovillari,Tribunale,I,nd,archiviazione,37,media,prospetto sentenze
Tribunale di Foggia,Tribunale,I,423,condanna,3,alta,prospetto Foggia
Tribunale di Foggia,Tribunale,I,423,assoluzione,1,alta,prospetto Foggia
